0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8
0.1753603861	0.0	1.215808055	-0.6777008868000001	-0.3228894192	0.7772234986	1.841555976	-0.2681438514	1.52401336	0.9270757837
0.1749508238	0.0	1.082325766	-0.8429324865000001	0.14020014960000002	1.0389169459999998	0.02212391128	-1.06785584	0.9844144438	1.105366404
0.17413265579999998	0.0	0.8044415594	-1.021954588	1.17147166	1.386546281	-0.5869008579	-0.1056679368	0.5334336817	1.99933838
0.17290779280000002	0.0	0.9760230999	-1.1824700890000002	-0.02357725938	0.5499783015999999	-1.049111626	0.1806690791	0.2858006101	2.012902426
0.1712790957	0.0	0.6015505245	-1.031265471	-0.3635480634	0.3694673764	-1.593990622	-0.6927725323	0.8734738863	0.6161695844
0.16925036829999998	0.0	-0.4026539618	0.2843256951	0.1702518108	0.8759219028	-1.855403666	-1.6667245330000002	0.1672334283	-0.3048136918
0.1668263489	0.0	0.5178028066	0.8486694907	1.174154087	1.056876952	-1.19073524	-0.6042276021	-0.6704584706000001	-0.02138646336
0.1640126988	0.0	0.8484389035	1.08994815	1.38260913	0.6213134582000001	-0.2176173347	0.7159851042	0.6794079945999999	-0.3210314954
0.1608159894	0.0	-0.6266838817	1.221433606	1.04402793	0.6294956046	-0.1321277455	-0.3026089112	1.273468268	-1.167335402
0.1572436868	0.0	-1.070987903	0.9542039912	1.25985413	0.5029475947	0.30883439420000003	-1.632692359	-0.5514318503	-0.7363222772
0.1533041343	0.0	0.5489601648	0.3616391165	1.458126178	-0.6403834251	0.5857671844	0.1646515958	-0.8732672867	1.044008679
0.1490065329	0.0	0.6978666459999999	-0.4117439394	0.8692770615000001	-1.968894055	0.4303771626	-0.8578530458	1.090386888	1.273457092
0.1443609199	0.0	-0.2736488223	0.02223278055	-0.7861114838	-2.08630111	-0.9003822543000001	-1.4155054319999998	0.5826314608	0.7039389695999999
0.1393781452	0.0	-1.611227552	1.4092865680000002	-0.991374786	-0.3107652936	-0.3696145236	0.1626169363	-0.15138967779999998	2.327895522
0.1340698464	0.0	-1.305920293	1.665888924	-1.095878912	0.5017785187	0.3719943977	0.6225634592	1.714956639	2.366430292
0.1284484213	0.0	0.4416516131	1.002090177	-1.719500108	0.3920737055	1.147595923	-1.172247651	2.29232056	1.031973922
0.1225269989	0.0	0.9442743417	1.120131336	-1.36748854	0.2709287973	1.5188186819999998	-1.585312206	0.1812877361	0.9787020685
0.116319409	0.0	-0.3063858491	-0.3317942932	-0.4901298214	0.03335182306	1.902647538	1.136556353	-1.046416586	0.7938477205
0.10984014980000001	0.0	-2.138660208	-0.3853805041	-0.09839411498	0.7451918679	-1.108304053	0.9926291567	0.3697353962	0.7510539179000001
0.1031043538	0.0	-1.79546261	0.5264816808	0.8581249423	1.118915856	-0.3862381249	-0.3401762811	0.7978599164	-1.464354124
0.09612775289999999	0.0	-1.310955025	0.6783219026999999	2.024910171	0.9398803375	-0.1381992783	-0.5466333168	0.09420949599	-0.7625469565
0.0889266411	0.0	-1.278000414	0.5347711615	1.328964526	0.6994944725	-0.2052714581	1.392842537	0.4966755626	-0.5630583464
0.081517837	0.0	-1.134464769	0.3625305904	0.5569536809000001	0.4803591868	-0.3266038074	0.7865603754	1.045368	-1.3656521819999998
0.0739186442	0.0	0.6244124218	0.5879148896999999	0.2016488514	0.0949446227	-0.3853925138	-1.231783702	1.012969251	-1.4245313169999998
0.066146811	0.0	1.36839432	1.096318538	1.207741832	-0.4021956395	0.2791166168	-0.9331604722	0.09026787513	0.3270704448
0.0582204889	0.0	0.3621630792	0.02164776841	1.159261272	-2.014594076	0.9441732003	1.253892209	0.7503353161	1.270750946
