0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10	0.0.11	0.0.12	0.0.13	0.0.14	0.0.15	0.0.16	0.0.17
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.1781187815	0.0	0.0	0.0	-2.335415577	2.375916969	-1.30865438	3.027286143	-0.002276925847	-0.6031115478	-0.6091036821	2.376789623	1.4308180680000002	1.347952076	1.44936578	0.7103581294	0.3129558422	1.154841395	-0.4185518609
0.1776759502	0.0	0.0	0.0	-2.973536925	2.543776807	-1.930201291	1.5161236059999998	0.08803114877	-0.8853877284	-0.2536785431	-0.09669118178	0.685063045	1.7973117669999998	0.6889416228	0.5579304836	-0.4875550198	0.7205657011	2.087360768
0.1767913884	0.0	0.0	0.0	-2.531817149	2.2941674130000003	-2.048932767	1.055271822	0.4507616796	0.6749300761	-0.34798314	0.002557128626	1.323323836	0.5899451677	-0.5281913772	-0.7478156865000001	-0.4182126044	-1.046424964	0.06496203091
0.1754672954	0.0	0.0	0.0	-1.84698604	2.208338855	-2.154753791	0.6754348595	2.278455854	2.260308671	-2.047181512	-1.354322565	-0.6238147221	-1.008586419	-0.0407855404	1.366557156	0.3050372204	1.355790404	0.2052494307
0.1737069631	0.0	0.0	0.0	-1.803248843	2.45384766	-1.487965036	1.786183663	2.027343357	0.7227910112999999	-2.07306946	0.7851812890000001	-0.7152538891	1.058052941	-0.9551965933	1.4151182759999998	1.310802353	0.510663289	0.1234756219
0.17151476780000002	0.0	0.0	0.0	-1.824625357	2.279641185	-0.5940252786	2.87836638	1.944914924	0.1211866268	-1.201336217	0.3126837267	1.043616039	1.902904926	1.383063978	0.1236620684	-1.001935182	0.08656362931	1.383943437
0.16889615989999998	0.0	0.0	0.0	-2.38398112	1.927596878	-0.5795219979	-0.1325012065	0.03848384728	1.001472328	1.529034936	1.370758425	1.568809295	-0.7826138956	0.7649169643000001	-0.12884863929999998	0.1063749684	0.07074375925	-2.174092041
0.1658576494	0.0	0.0	0.0	-0.9641410229	0.9538917672	-1.816370559	0.8722167683	2.8299190010000004	1.76651011	-0.5289180213	0.5216340992	0.8840532606	-0.7478045308	-0.6235456284	1.086501131	-0.3268779265	0.5792625725	0.5446560389
