0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10	0.0.11	0.0.12	0.0.13	0.0.14	0.0.15
0.1781187815	0.0	0.09362228208	-0.6167441321	-1.896711222	1.104746428	1.196500774	0.8210322281	2.4346720040000003	0.144842226	-2.571645589	-0.9372334584	-2.995146782	0.356801553	-0.236533638	-1.876903249	-0.7353001583
0.1776759502	0.0	0.01617433173	0.08966893083	-1.580282951	1.488020493	1.3138100940000002	0.6860453042	3.145584704	-0.520998021	-1.200431204	0.2628384291	-3.161897824	1.881978436	-0.08564765839999999	-1.340609538	0.813892616
0.1767913884	0.0	0.053207435199999986	-0.03515569401	-1.286594402	1.277113486	1.305163139	0.3681491078	3.071860418	-0.6108004477000001	-0.7497246818000001	1.604181144	-2.7741782610000003	1.5967219819999998	-0.2855108388	-0.2148277758	1.150640714
0.1754672954	0.0	0.17208996070000002	-0.4816874131	-1.092185579	0.330325478	1.604278355	1.213501599	2.389287293	-0.5818616545	-0.1972575178	-1.164966911	-1.132883914	-0.8227537087000001	-2.033937612	0.9802452334	0.3243866536
0.1737069631	0.0	-0.2419334889	1.729206098	-1.496991217	0.251762285	0.6248241963000001	2.937048937	0.0027839635570000004	1.049994478	-0.7891592572	0.08496900747000001	-0.2598227706	-0.9910541961	-1.514798483	-2.150016552	-1.12402496
0.17151476780000002	0.0	-0.277477039	2.045118505	-1.301139859	0.65318712	1.155701765	2.726607224	0.262926587	-0.1593630294	0.5282420185	1.467227363	-0.1059828567	0.5934793843999999	-1.162905635	-1.359037296	1.149608271
0.16889615989999998	0.0	-0.17796468399999998	1.674733428	-1.154506269	0.8316358922	1.41950002	2.0184342980000003	0.2022205457	-0.6282471004	0.7975978816	0.8078339508	-0.09073233626	0.02358074301	-1.393721038	-0.4903318197	1.678547899
0.1658576494	0.0	-0.2032462437	0.9950737409	-1.830775863	0.5714041107	1.079641638	2.152236531	0.559556348	-0.04328647119	1.686576497	-0.0728459675	0.38056778	-0.671975951	-1.40263376	0.02297253792	-0.8673822804000001
0.1624067907	0.0	-0.2665692472	1.718574255	-1.060596428	1.0595323559999998	1.61396778	1.746116834	0.3137268265	-0.276365699	0.6534727329	0.1739026816	-0.1145444794	-0.03309579434	-1.086481023	0.303478535	-1.7764528999999998
0.1585521632	0.0	-0.07407088242000001	0.9059767332	-1.180901551	0.8205284702	1.79280214	1.505466965	0.1783322215	-0.7476263846	0.5007064185	-0.1824181929	0.3997529669	-0.2155512851	-1.99751102	0.7355072479000001	-1.127834699
0.15430335	0.0	-7.490799562	-1.643114802	-1.260224274	-1.225859292	0.3229022264	-0.2399504931	0.7231914477	1.766147869	-0.5999828386	-1.259188727	-0.8598139118000001	-3.64683141	-1.503135975	-0.7323931379999999	-1.400558231
0.14967091429999999	0.0	0.2284486058	1.239326788	-1.262327693	-0.01478944817	-0.5095584343	-0.0009757330338	0.6662157379	-0.6085348389999999	0.19606962	-1.57878609	0.002234540744	0.1815558017	0.4249307844	-1.574961473	-0.9601746949
