0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8
0.1781187815	0.0	0.6063062908	-1.709942543	0.7182501142000001	-1.307450704	2.125486824	1.123414102	0.2535862548	-0.6416534903
0.1776759502	0.0	-0.8115403711	-1.369620654	1.188074255	2.02345017	1.962585437	-0.5775499544	0.6537068187	-0.295552557
0.1767913884	0.0	-0.2595475069	-0.8307222573	-0.6821837179000001	0.3870532978	2.609812678	-0.09555299943	1.55172329	0.1662257774
0.1754672954	0.0	1.7291030019999998	-1.835577249	-0.9366196616	-0.5216979921	1.477346368	0.7564731269	1.823669266	-0.7342537248000001
0.1737069631	0.0	-0.222433876	-1.811684109	1.565900347	-0.3008763568	1.207149758	0.1051098394	0.4237133091	-0.7314868247
0.17151476780000002	0.0	-0.5189712473	-1.662691849	0.3250487481	0.8803882601999999	0.9538796055	-1.05056782	0.4046866796	-0.01332081115
0.16889615989999998	0.0	-0.5087182592	-0.8244900899	-0.9080517096	0.4270636231	2.156224739	-0.4181712918	1.4035955	1.560463781
0.1658576494	0.0	1.063605698	-0.9899977224	-0.7238090534	-0.2906811157	1.51405385	-0.2180838199	2.204103355	1.274655835
0.1624067907	0.0	-0.4291492781	-1.100860574	1.425826254	-0.4790286842	1.370860736	0.08247421352	1.151228631	-0.7045288512000001
0.1585521632	0.0	-1.060762092	-0.07568029875	-0.2515266175	0.1226199614	1.7405803919999998	0.8466504068	-0.4719606097	-1.633260943
0.15430335	0.0	0.6286626007	-0.2445982037	-1.074310163	-0.3747589635	1.573125224	-0.2245607864	-0.5432932355	-1.2348436109999998
0.14967091429999999	0.0	-0.1485710489	-0.879329432	0.8195458078	-0.9943065445	0.8091381632	0.3072331682	-0.9409637657	-1.298230101
0.1446663732	0.0	-1.2996088140000002	-0.5218308993	0.2933902976	0.9613543638	0.3955624119	-0.3958746836	-1.702675225	-1.522706228
0.1393021686	0.0	-0.6043393725999999	0.2631578166	-1.45801334	-0.555771749	0.6189792663	0.1232141682	-0.4219532996	-1.343745629
0.13359163699999999	0.0	0.569797004	-0.507928181	-1.345972159	-0.8322089040999999	0.4250181757	0.5852863394	1.215169354	-1.231863182
0.1275489755	0.0	-0.4698790207	-0.613606717	0.2014513932	-0.843610713	0.3981641224	-1.220371413	1.024823263	-0.02589790915
0.12118920710000004	0.0	0.229087648	-0.7517141407	-0.6120019697	0.03350173659	0.3952898197	-0.5994369755	-0.5754075946	0.7063922086
0.1145281432	0.0	-0.9531692077	-0.0844719275	0.9299617705	-1.252287394	0.1901158821	1.750515994	-0.05902082766	0.6574900276
0.10758234439999999	0.0	-1.197400449	0.3012904253	-0.5168253386	0.296030784	0.6180841414	-1.289190027	1.558742638	0.8441152922
0.1003690789	0.0	-0.1369044743	-0.2149316086	-0.9096221524	-1.221408454	-0.2626159548	0.34417044770000005	1.063774169	-0.5977619918
0.09290628	0.0	-0.598824327	-0.1265677098	-0.1153153077	-2.055321674	-0.35643273270000003	-1.584799433	-1.011404305	-1.4328264819999998
0.08521250150000001	0.0	-1.265361706	-0.6331334484000001	0.4963778251	-0.6468462586	-0.6049933981000001	-1.268824457	-1.477910759	-1.608803178
0.0773068713	0.0	1.243734775	-0.3865881342	-1.523536987	-0.956841423	0.25685778	-0.4486336452	-0.3765048575	-0.2830089132
0.069209044	0.0	-0.204467567	0.02880305947	0.3057311177	-0.4261109168	-0.009809534952	0.2834750557	0.9723225513	-0.9541195017
0.0609391522	0.0	-0.876868897	-0.2288336468	0.5845202029	0.8641657207	-0.14147565269999998	-0.2589649834	0.3343479711	-1.838430708
0.052517756	0.0	-0.2770574589	0.3117752583	-0.906412448	-0.12987739310000002	0.4663730817	0.9503349402	-0.3448547491	-1.12381168
0.0439657924	0.0	0.1059918874	-0.5910495983	-0.4996468148	-0.5958227987	-0.4637244709	1.251400339	-0.2484571141	-0.221668647
0.0353045229	0.0	-0.5621643781	-0.7845481758	0.677476425	-0.7573817331	-0.7499685071	0.7905725887	-1.05405876	0.8555951033
0.0265554808	0.0	-1.1759501959999998	-0.2398319765	-0.4941251339	0.7300430419	-0.1893413649	0.6619699403	-1.252564894	1.243296805
0.0177404176	0.0	1.334636571	0.2407491907	-1.3860721809999998	-1.026605665	0.1198849314	0.2049767971	-2.006003207	1.297397815
0.0088812489	0.0	-1.038566872	-0.4778287503	1.219241045	0.1519934959	-0.9420234888	0.4350864003	-0.8790833856	1.020348155
0.0	0.0	-0.9480040744	-0.06597302247999999	-0.6589092661	0.3368825854	0.31376250850000004	0.6069979622	-0.5200744811	1.774182666
-0.0088812489	0.0	2.09619299	0.2305841409	-1.223496934	-0.8898320057	0.3013904969	0.8367381807	-1.111518715	1.616677451
-0.0177404176	0.0	-0.5385164365	-0.3255012229	1.009027664	-0.1079268124	-1.014604347	0.7523288373	-0.1335106257	0.7461686933
-0.0265554808	0.0	-1.171189795	-0.562194168	0.4534306784	0.5981878273	-0.5660410811	-0.6735645224	0.1085285752	1.477259295
-0.0353045229	0.0	0.560301159	0.2798591603	-1.255508906	-0.4996745714	-0.2060894027	-1.5864385019999998	-0.6987906390999999	0.8676624175
-0.0439657924	0.0	0.3859698498	0.01298197851	-0.343007034	-1.191122189	-0.7570696903	-2.37135249	-0.3011654052	0.07891685741
-0.052517756	0.0	-0.6463848966	-0.3527396466	0.7508641940999999	0.1214580364	-1.0506187809999998	-1.780528794	0.4669849197	-0.2442981421
-0.0609391522	0.0	-0.5793279506	0.5924251871	-0.629708436	0.1170409565	0.0265962061	-0.28730288260000003	0.9609427525	0.5516752992
-0.069209044	0.0	0.289688404	0.4489725588	-0.8715368945	-0.5649028611	-0.5159452048	-0.4282918238	0.5721807822	0.2042493297
-0.0773068713	0.0	0.3928346647	-0.2217296349	-0.2726701708	-0.8776561436	-0.6934480194	-1.052101236	0.3518833395	0.1632123672
-0.08521250150000001	0.0	-0.4162008342	-0.3098613176	0.858406166	0.1914854024	-1.1964244309999998	-0.1120178197	1.013154633	1.037969078
-0.09290628	0.0	-1.07718639	0.5493656128	-0.2878869254	0.7415156790999999	-0.2800658338	0.7878085892	0.8493300578	1.550114133
