0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10
0.1781187815	0.0	1.457476315	0.1222661666	-1.890842292	0.4939670399	1.42737855	2.262919705	0.3766462627	0.17537917449999998	1.011623245	1.132795095
0.1776759502	0.0	0.3880267883	-1.624407689	-2.026784288	0.5679234727	0.7280646886	1.645690329	0.6173359288	-1.501804907	1.393433638	-0.05701129461
0.1767913884	0.0	-0.07455836989	-0.6968642679000001	-0.4785503691	0.8523093536	-0.5424592879	2.029884478	-0.3998779213000001	1.011052974	-1.5139802430000002	-0.6408320727000001
0.1754672954	0.0	-0.325839947	0.6987843595000001	-0.8014721898999999	-1.10368981	0.7888682705	1.356192337	0.0620776691	0.6631540669	-1.942274895	0.06749904015
0.1737069631	0.0	0.1909220697	-1.239169414	-1.957766325	-0.3664350367	0.6513122197	0.34498669159999995	1.072392534	-1.835754492	-1.164991644	-1.269685048
0.17151476780000002	0.0	-0.4259439947	-1.7602752819999998	0.1757633283	0.5642728174	-1.030484391	1.562064698	-0.4154787539	-0.02940945583	-2.243046644	-1.934314379
0.16889615989999998	0.0	-1.258182917	0.9442335535	0.5256348303	-1.176142871	0.2743386259	0.790739755	-2.076151567	0.6279219287	-1.189685554	-0.1701916106
0.1658576494	0.0	-0.5223865044	-0.2388255269	-1.7285514240000002	-2.484543057	0.694999782	0.4846227372	-0.3008525008	-0.1233588327	-0.6980912036	-0.35585199170000004
0.1624067907	0.0	1.043824095	-1.046493914	0.1265046272	0.4320812101	1.698046395	1.761703178	1.52135376	-1.174037509	0.7463650064	-0.1816957654
0.1585521632	0.0	1.000943799	1.298600544	0.6794677553	0.6656728377000001	-1.293535912	1.611921649	0.06041316317000001	-0.5742173621	0.2296183663	-0.5025467178999999
0.15430335	0.0	-0.4330697523	0.3384853199	-1.149757122	0.3613965825	-0.5944895372	0.3391735403	-1.3835057219999998	0.3770872998	-0.7765801026000001	1.851787917
0.14967091429999999	0.0	-1.759347671	-0.7517056914	-1.185283587	0.4130063595	0.7530660876999999	0.04342042072	-0.3937434462	0.3270321866	-0.13162091609999998	0.3697567119
0.1446663732	0.0	-1.278856288	-0.6280446789999999	0.867405669	0.4326356582	0.8097988314	1.673740575	0.2833185783	1.726566913	-1.427735485	-1.107258036
