0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
0.1781187815	0.0	0.0	0.0	-3.127586229	-2.656476459	-1.74187962	-1.930615742
0.1776759502	0.0	0.0	0.0	-2.8858507280000003	-1.993882128	-1.246983141	-1.2963442790000002
0.1767913884	0.0	0.0	0.0	-2.473931281	-2.41216926	-1.100920407	-1.431878289
0.1754672954	0.0	0.0	0.0	-2.674989274	-2.290700107	-0.1068844778	1.001364991
0.1737069631	0.0	0.0	0.0	-2.166104626	-0.1699810807	0.01296668381	-0.3981113522
0.17151476780000002	0.0	0.0	0.0	-0.9170580032	0.0127547857	0.8665243866	-0.7287672615
0.16889615989999998	0.0	0.0	0.0	-0.9202958094	-0.1217425432	1.157895995	0.6136018247999999
0.1658576494	0.0	0.0	0.0	-0.4884487524	0.7797103526000001	0.9799169571	0.09142951188
0.1624067907	0.0	0.0	0.0	-0.7256744909999999	0.7211846341	0.4750262489	-0.017483982869999998
0.1585521632	0.0	0.0	0.0	-0.5337725193999999	-0.4916089334000001	0.5416335722	-0.6348542738
0.15430335	0.0	0.0	0.0	-0.8137367535	-0.8844321923999999	-2.039413429	0.5833908508
0.14967091429999999	0.0	0.0	0.0	0.2377845867	0.8346864823000001	-0.7037294104	-0.7636033753
0.1446663732	0.0	0.0	0.0	0.5009857823	-0.2400135207	1.213163508	-0.2143911355
0.1393021686	0.0	0.0	0.0	-0.00846039598	0.1312866883	-1.17393232	1.212392858
0.13359163699999999	0.0	0.0	0.0	0.2817052107	0.8459332148	-0.2015656962	-0.09585724939
0.1275489755	0.0	0.0	0.0	0.4829697761	-1.065832762	0.5104508077000001	-0.8759841109000001
0.12118920710000004	0.0	0.0	0.0	0.2482487699	-1.101426448	-1.949749279	1.151386479
0.1145281432	0.0	0.0	0.0	1.253729338	-0.24299892760000005	-0.5290094174000001	-0.6894817442
0.10758234439999999	0.0	0.0	0.0	0.9750161807	-0.2673270677	1.686405476	0.8090161238
0.1003690789	0.0	0.0	0.0	1.517207514	0.6760985677	0.2723039144	-0.0007035484261
0.09290628	0.0	0.0	0.0	1.0284745240000002	-0.3534555408	0.320014422	-0.431013294
0.08521250150000001	0.0	0.0	0.0	0.147233318	-0.3197371752	-0.7332044423999999	1.388301045
0.0773068713	0.0	0.0	0.0	1.379786767	0.4969045423	-0.3543654452	-1.074654931
0.069209044	0.0	0.0	0.0	0.8530306434	0.009786703586	1.059674437	0.7446197249
0.0609391522	0.0	0.0	0.0	1.207343504	0.5034477462	-0.4769328164	-0.2637723697
0.052517756	0.0	0.0	0.0	1.4958050019999998	-0.034491497819999994	0.5763337774	0.4977159696
0.0439657924	0.0	0.0	0.0	1.146722979	0.3019958747	-0.5412652475999999	1.055541539
0.0353045229	0.0	0.0	0.0	1.09815391	-0.5573833119	-0.5074183289	-0.6766144499
0.0265554808	0.0	0.0	0.0	-0.4895493485	-0.8325132121	0.5406186608	1.209061433
0.0177404176	0.0	0.0	0.0	0.0756208731	0.3032576984	0.5912565981	-2.319067086
0.0088812489	0.0	0.0	0.0	0.04450345545	2.630322818	0.201340683	-0.2868188216
0.0	0.0	0.0	0.0	0.5707113369	1.889334882	1.918559747	-1.628442804
-0.0088812489	0.0	0.0	0.0	0.09625272932	1.283370186	0.07925867949	0.7315338712999999
-0.0177404176	0.0	0.0	0.0	0.3788672465	0.8198459487	-0.2648232043	-1.54948628
-0.0265554808	0.0	0.0	0.0	0.3692375674	0.4613189672	0.4611341262	0.1080445503
-0.0353045229	0.0	0.0	0.0	0.01921059877	0.6778873041	-0.9345807909	-0.7776241715000001
-0.0439657924	0.0	0.0	0.0	0.2883824531	-0.2244465684	0.4772834386	0.6290041919
-0.052517756	0.0	0.0	0.0	0.04368031801	-0.2925776963	-1.68631326	1.080940066
-0.0609391522	0.0	0.0	0.0	0.7034007645	-0.8483749408	-0.024430596430000003	-0.7965315773
-0.069209044	0.0	0.0	0.0	-0.4369355998	-0.3280776891	0.4245937316	1.4777898369999998
-0.0773068713	0.0	0.0	0.0	0.053645985419999986	-0.1709909979	0.7214022574	-1.161501261
-0.08521250150000001	0.0	0.0	0.0	-0.5838381634	0.9572379754	1.7720960280000002	1.200323643
-0.09290628	0.0	0.0	0.0	-0.6415104227	0.8895532758	0.4218427955	0.04625751344
-0.1003690789	0.0	0.0	0.0	-0.4894243802	-0.8161525728	0.1408125355	-0.4007093161
-0.10758234439999999	0.0	0.0	0.0	-0.9368395175	-0.07117069867	-2.088985591	0.16196282720000002
-0.1145281432	0.0	0.0	0.0	-0.02191965567	-0.1964593034	0.401236026	0.8016619905
-0.12118920710000004	0.0	0.0	0.0	-0.1805283322	-0.25244097050000003	-1.264686071	0.5181071412
-0.1275489755	0.0	0.0	0.0	0.1819106909	-1.404190966	0.3793050937	0.6694225294
-0.13359163699999999	0.0	0.0	0.0	-0.546084982	-1.134632446	-1.022837552	-0.004572178146
-0.1393021686	0.0	0.0	0.0	0.001674424575	0.15501122539999998	1.268272376	-0.8188293112
-0.1446663732	0.0	0.0	0.0	0.1266793842	1.224294691	-0.760934685	-0.5104217292000001
-0.14967091429999999	0.0	0.0	0.0	0.5868504333	-0.1244569103	0.5002170203	0.15209553609999998
-0.15430335	0.0	0.0	0.0	0.6609089781	-0.06793438757999999	-1.473213492	0.6480170103
-0.1585521632	0.0	0.0	0.0	0.4042870398	-0.01950314351	1.672249417	0.7401144245
-0.1624067907	0.0	0.0	0.0	0.01477599231	1.83137607	1.278555523	0.6596196749000001
-0.1658576494	0.0	0.0	0.0	0.7820681756	1.401696449	1.512658989	-0.9298086618
-0.16889615989999998	0.0	0.0	0.0	0.4654486517	0.5671108427	-1.202590834	0.9372516291
-0.17151476780000002	0.0	0.0	0.0	0.8611152692	-0.2631845229	-0.9048884147	-1.644358005
-0.1737069631	0.0	0.0	0.0	0.4869517291	-0.28875020960000003	-0.2555460747	2.228721155
-0.1754672954	0.0	0.0	0.0	0.1946090528	-0.4633779107	0.3066302587	-1.139263717
-0.1767913884	0.0	0.0	0.0	-0.02614800062	1.683738824	0.8672803035	1.429068625
-0.1776759502	0.0	0.0	0.0	0.6028241699	0.8752868783	0.2331847056	-0.8281329381999999
-0.1781187815	0.0	0.0	0.0	0.2208721388	0.03846047458	-0.5510151353	1.7419406780000002
