0.0	0.0.1	0.0.2	1.0	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10	0.0.11	0.0.12	0.0.13
0.12450533039999999	0.124477639	0.1244314912	0.0	0.7820272203	1.220883126	-0.08766927424000001	0.7262745957	0.9260422215	1.512221876	-0.9945996336	0.6688082889	-0.3376231158	-0.2809324056	2.976023827
0.1244314912	0.1241823917	0.12376759529999999	0.0	1.490001816	-0.9610679981	0.8151043323	1.204221071	3.221456261	-0.044683945639999986	0.5293984978	1.295304595	0.705946257	0.07411985593999999	1.3644673369999998
0.1242838566	0.12359259759999999	0.1224433458	0.0	-1.171622463	0.443553399	-0.7250262890000001	0.6772057709999999	-0.3945582134	-0.5655656725	0.2465508239	1.560735695	1.88155597	0.5805284961	1.187304438
0.1240625143	0.1227096555	0.1204658081	0.0	1.166338539	0.14746755460000002	1.158305238	0.7246871291	1.596098112	1.011502016	-0.6590519751	1.918321044	0.54155466	-1.157790893	0.08758760902999999
0.12376759529999999	0.1215356597	0.11784553310000001	0.0	0.06999675275	-0.2064701115	-0.34587289	1.045350295	-0.4113407651	-1.234473108	1.720720221	1.3202186000000002	1.18331771	0.55269875	1.265992023
0.1233992748	0.1200733947	0.11459650130000001	0.0	0.1466218155	1.7105235090000002	-1.210988119	1.32178958	0.02802313239	1.758528047	0.3617106985	1.817121003	2.056211889	2.015828923	0.2832091204
0.122957771	0.1183263288	0.1107360475	0.0	0.04117210604	1.92488719	-1.402811116	0.138377456	-0.03070221859	0.9949390694	-1.313064501	-0.4845110758	0.3617505407	0.01654468771	0.4385611161
0.1224433458	0.116298606	0.106284769	0.0	0.8779341576999999	-0.7182667559	-2.189344223	0.3351025703	0.1328286234	0.5374974497999999	-2.182890712	-0.6926986857999999	-0.2756235324	-2.694686332	0.2739468692
0.12185630439999999	0.1139950357	0.1012664153	0.0	-0.2362090057	-1.418655364	-0.4520006295	-0.1012471083	1.155690017	-0.7038296127	-0.6303377423	0.6508731028	-1.02239037	-0.3572493868	-1.498899238
0.1211969948	0.1114210819	0.09570776140000001	0.0	-1.495936145	-0.5451061744	-1.440381367	0.8102420226	-1.488371259	-1.472783676	-1.502969841	0.1381025106	-0.1249536362	0.6046617968	0.3718921025
0.1204658081	0.1085828495	0.08963846519999999	0.0	-0.5235790706	1.903945007	-1.178727549	0.1918276615	-0.08651772701999999	1.443959644	-1.152087682	0.7895811793999999	0.6179755576	1.224593903	-1.21704623
