0.0	0.0.1	0.0.2	1.0	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10	0.0.11	0.0.12	0.0.13	0.0.14	0.0.15	0.0.16	0.0.17	0.0.18
0.12450533039999999	0.124477639	0.1244314912	0.0	-2.499900591	-1.375855206	1.728482333	0.2134377479	1.7158600240000002	-0.4635100229	0.1829105859	1.797154681	0.6717771644	0.4053775689	0.307587924	-0.7377314447	0.12979172349999998	0.7609794688	0.9041574687	0.6296833492
0.1244314912	0.1241823917	0.12376759529999999	0.0	-2.790579301	-0.943271462	2.056906582	0.4952748654	1.78168765	-0.7168211698	0.1803649814	1.952955	0.5582046412	1.052039071	0.9038960452	-0.4385078297	0.06453257202000001	0.4630136336	-1.515762123	-0.7461993966
0.1242838566	0.12359259759999999	0.1224433458	0.0	-2.671466941	-1.290660954	1.139333137	-0.1503174502	1.302388937	-0.7399758401000001	0.04982824957	2.404793337	0.26030765440000003	0.8779708990999999	0.7408721490000001	1.338346506	1.702683596	-0.2093109521	-0.6638227729	-0.526333936
0.1240625143	0.1227096555	0.1204658081	0.0	-2.996726962	-0.9854754557	0.2064152034	-0.1567742328	1.237421208	-0.4583700697	-0.4162494377000001	0.1472470722	-1.307097265	-0.1360375425	0.3654799827	-1.331150147	0.1508058073	-0.2683603443	-1.026726976	0.2001768871
0.12376759529999999	0.1215356597	0.11784553310000001	0.0	-2.7070203960000003	-0.5169867989	-0.6240754006	-0.1379348151	1.33935442	0.3741518123	0.5188216123	-0.6519665425	-0.7125630181	0.1844988007	1.154303169	0.1644279162	-0.5659179007	0.2472550407	-0.3077764063	-1.0924571
0.1233992748	0.1200733947	0.11459650130000001	0.0	-2.336590297	-1.16447033	0.08423755305	0.6498423743999999	0.4723503993	0.4450343261	0.8893151329000001	0.2183470714	-1.898626625	0.5862221122	1.379450267	-0.51744686	0.9529357936	0.6946480554000001	-0.3637941264	0.981770638
0.122957771	0.1183263288	0.1107360475	0.0	-2.3857520290000003	-0.8960093518000001	0.3063917232	0.5705219466	0.3549398215	0.5688638716	-0.1608165804	-0.273164615	-0.8984058396	1.352799713	1.623742386	0.2560098692	-0.3793780097	0.8861309463	-1.258734775	1.284550988
0.1224433458	0.116298606	0.106284769	0.0	-2.236692876	-1.275336096	0.1761640655	1.369510192	0.7657534769	0.4173237361	0.4385288424	-1.300611778	-2.089676697	-0.4918196305	1.769219394	0.6780187905	0.6389789082	0.13842663730000002	-0.05792288973	0.7290240498999999
0.12185630439999999	0.1139950357	0.1012664153	0.0	-2.268317887	-0.4980672844	1.4161567	1.102210315	1.047207347	0.35130970409999995	-1.918545021	0.7068052415	-0.2080727802	-1.947004261	1.78742511	-0.2504872864	-2.282055482	-1.324166602	0.6470326679	1.350897936
0.1211969948	0.1114210819	0.09570776140000001	0.0	-1.981946587	-0.3457226699	0.5988564064	-0.849927606	1.160873857	1.183421868	0.4873276166	2.2733641280000003	-0.9168718617	-0.4065985437	0.9196055114	1.432539711	0.6663574615	0.434269401	-1.829184961	-0.6181722197
0.1204658081	0.1085828495	0.08963846519999999	0.0	-1.764615218	-1.095286097	1.168619401	-0.1501406857	1.11732618	0.4040931222	-2.0834339980000003	1.658290024	-1.860059836	-0.01627303635	1.042055887	0.8237803126000001	0.960273048	-0.9446976135	-0.4370614451	0.4965058234000001
0.11966317789999999	0.10548707060000001	0.083090909	0.0	-1.78298708	-1.223170181	0.3721128623	0.22431842	1.704045005	0.5406578324	-1.655932149	-1.228909612	-1.675479734	-0.3887032687	0.1806903703	-0.1522328892	0.477148436	-1.001635202	-0.9977371266	0.15514949890000002
0.1187895802	0.102141088	0.0761000269	0.0	-1.505382646	-1.803594575	0.4239223533	0.7816178106999999	1.439841825	0.8469681436	0.1181277843	-1.2786835090000002	-1.134520071	0.199466071	-0.7144342079000001	-0.252379652	-0.6661859902	0.04922159502	-0.7680483775	1.299247873
0.11784553310000001	0.098552838	0.0687031182	0.0	-1.21978648	-1.807143343	0.7267204881999999	0.2888370016	1.059505001	1.33167159	0.08605881589	-0.6060231159	0.002026775632	1.847586407	-0.6936689895999999	-0.7201760117	0.5281715652000001	-0.6010009218	-1.4208596080000002	0.5188344611
0.11683159650000001	0.0947308316	0.0609396486	0.0	-1.127631028	-1.93928484	0.7588411076	0.0535235075	0.6227187249	1.284304774	0.1891364566	-1.236333725	-0.7349949284999999	1.592362723	-0.4624540553	-0.2243530484	-0.7112682115000001	-0.6873392831999999	-0.8204495581999999	0.218858778
0.1157483718	0.09068413410000001	0.0528510396	0.0	-1.039614881	-1.285267409	0.6654158162	-0.2452494007	0.3267468998	1.765490113	0.04577255546	-1.2196392390000002	-0.65073417	0.6427505214	-0.2891122312	-0.3621939291	-0.482861001	-0.8407334451	-0.3770217493	-0.4240262472
0.11459650130000001	0.0864223439	0.0444804475	0.0	-0.5179910967	-1.142418289	1.38498442	0.1908969783	0.161623946	1.686502912	-0.8135676573	0.2149757961	-0.9846800853	0.7174894595999999	0.2451323345	-0.06574475641	-0.8098456481	-1.179784081	0.3208728339	0.09548894277
0.11337666810000001	0.0819555694	0.035872533	0.0	-0.8995024542	-0.9602478655	1.012950521	0.6015047294	-0.1844766636	1.656711711	-1.081110807	1.140770825	0.3940195179	0.9345089158	-1.496811733	0.5159285684	-0.1002274168	-1.193586462	-1.03093493	-0.6746113488
