0.0	0.0.1	0.0.2	1.0	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10	0.0.11	0.0.12	0.0.13	0.0.14	0.0.15	0.0.16
0.12450533039999999	0.124477639	0.1244314912	0.0	1.377716498	0.580881809	-0.0589114762	0.1740398243	-1.39988815	0.33838254630000003	0.1011783289	-0.9257158465	-0.150016114	0.5857133817	-1.75112249	0.3253326062	2.021751471	0.7673846606
0.1244314912	0.1241823917	0.12376759529999999	0.0	1.178765973	0.4522340041	-0.04626067193	0.5335498054	-1.606858774	0.7943392078	-2.16537072	-0.3469769605	0.6797824545000001	0.4516605702000001	0.06579871677	1.447469516	0.3092552505	0.8100472581999999
0.1242838566	0.12359259759999999	0.1224433458	0.0	1.288648178	-0.2653088839	-0.5852638604	-1.6656754740000002	-0.8286782434000001	0.4018033334	-0.5782953467	-1.035333452	-1.427443941	0.2546866913	0.1169167714	-1.023983604	0.07443468508	0.317077473
0.1240625143	0.1227096555	0.1204658081	0.0	1.144223692	0.5181935124	-0.2749217567	0.5687630106	-1.867252793	0.1373478099	-1.806937281	-1.835333135	-0.7649943212	1.777852141	0.3175745188	0.2814588685	-0.2258737687	0.7096345918000001
0.12376759529999999	0.1215356597	0.11784553310000001	0.0	1.199386904	1.375389667	-0.16669048	0.06317754673999999	-1.210694205	0.6181236246	-0.21639464670000005	0.1860976327	-0.6683860596	1.285570828	0.4916370425	-0.1683761909	0.1997105852	0.4287896683
0.1233992748	0.1200733947	0.11459650130000001	0.0	1.072100981	-0.431619755	-0.7144173208	0.3690009135	-0.7979791562999999	0.027743983439999998	-1.5401896430000002	-2.455056627	-0.5651169892	-0.2777820195	0.5657915761	0.6613712861	-1.07568691	1.040193279
0.122957771	0.1183263288	0.1107360475	0.0	1.094393673	1.528986378	-0.6927937376000001	-1.278087927	-1.206318061	0.2436182304	-0.493577067	-0.5830961459	-0.6393564301	-1.092454966	0.3929309089	0.1136392779	0.7720531839	0.9220322698
0.1224433458	0.116298606	0.106284769	0.0	0.9872520539	-1.482054952	-0.8224859627	0.07851987666	-0.9150043823	0.9041371757	-0.2267784843	-0.8909065544	-0.5299199868	0.8145310159999999	-0.2917975041	2.058919897	-0.4960125959	1.177148031
0.12185630439999999	0.1139950357	0.1012664153	0.0	0.9126243715	1.244428352	-0.9913564992	-1.11490522	-2.3433469380000003	-0.4312174686	-0.08206049279	-2.210533224	0.7096965431000001	0.6471913372	1.946654773	-1.086926102	-0.2643371923	0.5271136407
0.1211969948	0.1114210819	0.09570776140000001	0.0	0.8981372043000001	-0.633149538	-1.247905012	0.5815009059	-2.19416103	-0.1715792096	-0.409973821	0.02068335379	-1.177260466	-1.102715445	-2.3382955130000003	0.4076341678	-0.4564598568	0.7730755923999999
0.1204658081	0.1085828495	0.08963846519999999	0.0	0.9737942378	0.7176067716	-1.418778125	-0.09639183484	-0.2585521318	0.2801504836	-0.154971846	-1.78467592	0.2998905533	-1.689526918	0.5894752927	0.1146142677	-1.973157635	0.7415708628000001
0.11966317789999999	0.10548707060000001	0.083090909	0.0	0.7312728423999999	-0.09505808183	-1.185193414	-0.8981087754000001	-2.062488726	-0.8822854083	-0.7982716126999999	-1.793669334	-1.122231813	0.1957405888	-2.246078182	-0.8598537425	0.1099975493	0.8030673895
0.1187895802	0.102141088	0.0761000269	0.0	0.9604218626	-0.5509073862	-0.4725582762	-1.144854704	-1.386008366	0.7935258068000001	-2.2222969530000003	-0.2631306847	-0.8039365752	0.9608278808	-0.1678901771	0.1139544205	-2.921145114	0.110980946
0.11784553310000001	0.098552838	0.0687031182	0.0	1.164464713	-0.07121475197	-0.7790379961	-0.5094545243	-1.5981223480000002	-0.5106159698	-0.1223638359	-1.273414021	0.933137737	-0.4066410729	1.133010533	-0.1927382964	3.349252374	0.1606998376
0.11683159650000001	0.0947308316	0.0609396486	0.0	1.081226091	0.9900275315	-0.8479879543000001	0.08858763201	-1.3165754790000002	-0.08355885074	1.569494034	0.5689159632	1.339196154	-2.281404015	0.001454416216	0.9075854664	-0.1262040909	0.3421729042
0.1157483718	0.09068413410000001	0.0528510396	0.0	0.7781367358	-1.407927531	-1.149091153	0.3287408056	-1.176222579	-0.3761992841	-1.32134054	-1.641350806	-1.01402208	0.2303512179	-1.04988031	-2.193944421	-0.8040818865	-0.1941060454
0.11459650130000001	0.0864223439	0.0444804475	0.0	1.004844292	0.6482775856	-0.7112924729000001	-0.6454845674	-1.37898161	0.6076626264	-0.6066153782	0.4230419995	0.9052123232	1.335675631	-0.9566444053	0.02983231416	-1.541992375	0.3230518616
0.11337666810000001	0.0819555694	0.035872533	0.0	1.055752199	-0.2072205575	-0.5669663979	2.330730078	-0.6545428188	0.7907148345999999	0.3538484158	-1.067693693	-0.2642700686	0.3053631838	1.4689747030000002	-0.5742644704	0.4101709228	-0.1002927816
