0.0	0.0.1	0.0.2	1.0	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10	0.0.11	0.0.12	0.0.13	0.0.14	0.0.15	0.0.16	0.0.17	0.0.18	0.0.19
0.12450533039999999	0.124477639	0.1244314912	0.0	1.141001276	2.043898816	1.597601696	-1.3841223219999998	-1.405500798	1.093575233	-0.8504926065	0.7336200708	-0.2379620285	2.655272382	2.2135569040000003	-0.4940348805	0.7793639586	-1.726323145	-1.09332712	-0.1759955352	1.015248036
0.1244314912	0.1241823917	0.12376759529999999	0.0	1.086135416	1.474937526	1.6545894840000002	-1.3890818669999998	-1.972544254	-0.602388103	-0.5783129812	-0.3210323748	-0.06446823507	-0.8338600817	1.46041841	-2.372010907	-0.75123123	-1.635469574	-0.3053759059	-1.069054873	-1.885907664
0.1242838566	0.12359259759999999	0.1224433458	0.0	1.063264496	2.054094954	1.1076788640000002	-0.6267575082	-1.014271663	1.155001507	-2.153094007	0.5717429974	-1.794378085	-0.4876937901	1.776172968	-0.9437765696	-1.307337763	-0.3558690419	-1.385496654	-0.6751542937	0.4069926026
0.1240625143	0.1227096555	0.1204658081	0.0	1.137156371	1.71422619	1.432796111	-0.2941468854	-1.732347569	-0.9210007643	0.5759461751	0.489869825	1.179014121	-1.162345577	1.0763557540000002	-1.246244411	-0.8617917248	0.4887387291	-1.059977613	0.5741742947999999	1.107252996
0.12376759529999999	0.1215356597	0.11784553310000001	0.0	1.127447167	1.518581543	1.731661046	-0.5785458543	-1.387540947	2.9720795680000003	-0.6204290533	0.4151891792	-1.53657442	1.54268796	1.3767493119999998	-0.5967254159000001	1.362246124	0.5650292882	-0.5040872545	1.472669494	-2.089690269
0.1233992748	0.1200733947	0.11459650130000001	0.0	0.7772202365	1.664123737	1.306828894	-1.505225803	-1.616351598	0.2354946549	-0.5125910469	0.2765778065	-0.7570952404000001	-0.404224028	0.7211250751	-1.64164543	-0.9653596022	-0.3976545228	-1.810738616	0.9353763598	1.850580962
0.122957771	0.1183263288	0.1107360475	0.0	1.135732491	0.989067203	1.505735798	-1.116578584	-1.937735927	1.4005083269999998	-1.976563515	0.698517187	-2.07023378	-0.1389427419	1.093410161	-0.7140699422	0.6863027082	0.662940629	-0.8789913209	0.1600827745	-2.3896738230000003
0.1224433458	0.116298606	0.106284769	0.0	1.007034083	1.867639143	1.3126675209999998	-0.9912581543	-1.104939937	0.27614721670000003	-0.1680219628	1.245189949	-0.8949397859	0.2610569499	1.264261383	0.5218089788	-0.4407574408	0.4732070001	-0.7183617036	1.20100829	2.072085388
0.12185630439999999	0.1139950357	0.1012664153	0.0	1.010269563	1.458502802	1.543632365	-1.686913329	-1.625115637	1.583178219	0.8452388215000001	0.5883453989	1.314302269	0.4818862739	0.5520094839999999	-0.211361705	0.8052230923999999	-0.4749442346	-1.926389501	-0.02222036756	-1.708646541
0.1211969948	0.1114210819	0.09570776140000001	0.0	0.943001866	1.3902190330000002	1.4473658969999998	-2.202578878	-0.8582601455	1.199533111	-0.5875494926	-0.6965403468000001	-0.4389835474	2.227584846	-0.2331445075	-0.8346898961	-0.174526552	-0.7529615667	0.1221248695	-1.289776284	-0.6065606699
