0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10	0.0.11	0.0.12
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.17954766219999999	0.0	0.0	0.0	0.0	0.8791751154999999	1.164522235	3.446183539	0.02548445306	0.666363528	-1.371144115	0.4227040316	-1.204972521	0.3107462063
0.179086766	0.0	0.0	0.0	0.0	2.518523893	1.586845445	0.9350301776	-1.925133643	0.2625018059	0.5140470238	-1.015083378	-0.2642203686	5.041052852
0.17816615649999998	0.0	0.0	0.0	0.0	0.649022795	1.303616822	0.08661918308	0.9058507438	-1.219442829	-1.42613532	-2.014527912	2.131274132	1.069914242
0.17678819710000002	0.0	0.0	0.0	0.0	1.73867677	-0.7811255329000001	0.5245652251	1.33294031	0.2162384329	-0.2964137334	-2.395316202	0.5984981589	-0.1271845003
0.174956425	0.0	0.0	0.0	0.0	0.3189026248	0.6279952849	-1.127585989	0.6463052335	0.8642921133	0.4213387357	-1.537148705	-0.6541943732	0.1922023717
0.17267554219999998	0.0	0.0	0.0	0.0	-1.6638822640000002	0.33029617640000003	0.4456144304	-0.8038326385	-0.693587127	-0.8937212181	-2.683268511	-1.260708627	-0.03697858338
0.1699514037	0.0	0.0	0.0	0.0	1.165960145	-0.8500709697	0.17403854030000002	-0.2845412015	-2.320102751	1.029470831	-1.174957857	0.008623882357	-0.3650603688
0.1667910025	0.0	0.0	0.0	0.0	0.4840657079	0.6678819442	-1.302714567	1.4552905930000002	0.5496086875	-0.9045090616	-0.6913070938	-0.7132172190999999	0.5817369921
0.1632024511	0.0	0.0	0.0	0.0	-1.848028677	-0.4873708965	-0.22039078	-0.4441053493	0.2777769969	-1.066240426	-1.615813973	-0.9623942484	-0.5831321970000001
0.1591949614	0.0	0.0	0.0	0.0	0.2236755888	-1.396376007	-0.106423589	-0.8689830595999999	-2.047060454	1.143792366	-1.311187654	0.3460966632	0.1086225102
0.1547788205	0.0	0.0	0.0	0.0	0.2011097224	0.580831918	-1.042321012	1.185140926	0.09569646431	0.2031833713	-0.3697513242	-1.73625841	1.043179457
0.1499653646	0.0	0.0	0.0	0.0	-1.629642473	0.08673105479	0.4578177062	-0.4832360059	0.8696461301	-0.6578162191	-0.5070761240999999	-0.04232076566	-0.691573254
0.1447669497	0.0	0.0	0.0	0.0	-0.6480963354	-1.5538566530000002	-0.1220120032	-0.963381017	-2.036870601	-0.5400765946	0.3254010752	-0.6113280269	-0.4386740644
0.1391969202	0.0	0.0	0.0	0.0	0.08437471464	1.200649285	-0.871080196	1.261855914	0.1266978475	0.7422968194	-0.05327347682	-2.397068986	2.012406363
0.1332695741	0.0	0.0	0.0	0.0	-1.115022448	0.4163556697	1.072618141	0.08549346874	0.6209230599000001	-1.103621694	-0.8985890373000001	-0.3645750549	-0.8211017183
0.127000127	0.0	0.0	0.0	0.0	1.621894187	1.140183241	-1.184627015	-1.01181963	-1.07119964	0.5148475436	-0.4647551752	-0.4167101559000001	-0.9406636336
