0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9
0.1781187815	0.0	0.3487138626	0.7655010388	0.114168923	1.3558509909999998	0.1742512879	2.403740482	-1.465425797	0.6221326473	2.720854273
0.1776759502	0.0	0.04851274254	-1.569138454	0.31968963570000003	1.6785319930000002	1.64131464	0.1430257877	-0.25721142280000003	-0.26335399660000003	1.335532907
0.1767913884	0.0	0.1297761553	0.9474080272	0.7610497243000001	1.467030824	-0.3923584689	1.320558689	0.09858761555	-0.05742249767000001	1.653869346
0.1754672954	0.0	0.8563581843000001	-1.201456386	1.041757225	1.40618491	1.545776972	-0.5111116041	1.240751323	-0.4994406946	0.8638410962
0.1737069631	0.0	-0.3466224015	1.013763516	1.363172427	1.979280874	-0.33633910729999994	0.9685626593	1.65299061	0.185571337	-0.1963201273
0.17151476780000002	0.0	2.262066482	1.057655992	-0.2680779733	-0.09565595275	1.840965119	-0.6997092359999999	1.035055017	0.9586271681	-1.487455976
0.16889615989999998	0.0	-1.048535927	-0.2544046254	-1.189823437	-0.2955823271	0.1378894477	-0.1173298329	0.7238335268000001	1.866092639	-0.7845065188
0.1658576494	0.0	1.098358656	1.365388324	-1.3216424690000002	-0.7705272848	-0.1967660178	-0.6528998153	0.311971159	-0.9802839621	0.3575264999
0.1624067907	0.0	-1.203174914	-1.012808368	-1.202558627	0.2515366406	1.070330575	-0.4108803954	-0.9418476044	0.5484550541	0.9182227619
0.1585521632	0.0	0.5642840696	0.5155779157	-0.5717802164	0.8609177374	-1.220588496	0.5517967765	-2.002797377	0.1032922402	-0.1544972625
0.15430335	0.0	-0.5185356718	-1.841773424	-0.4767111215	1.321630828	-0.008349405004	-1.271713223	0.19209202	-1.016084754	0.5002510232
0.14967091429999999	0.0	-0.04777301175	1.433909633	-0.2032543269	1.498860053	-0.6956880877	0.796162892	0.9260800481	-0.17269944480000002	0.4651670263
0.1446663732	0.0	0.6869247093999999	-0.6656417793	-1.172410469	0.5349956403	0.9315253239	-0.6675453678000001	1.4080804969999998	0.7070175195999999	0.2507755072
0.1393021686	0.0	-0.5429533585	-0.2129375184	-1.6547377680000002	-0.1220541988	-1.771478596	1.7816510559999998	0.8197510101000001	0.4293119576	0.3221851575
0.13359163699999999	0.0	0.8607589254000001	0.9417188562	-1.485232727	-0.06604910597	-0.8340837293000001	-0.237826644	-2.031644008	-1.105704032	0.3584881902000001
0.1275489755	0.0	-0.60258066	-2.009438362	-0.1633706132	0.8402225618000001	-0.2319536709	-1.305575448	-0.1906889803	-1.026506622	0.05552967795
0.12118920710000004	0.0	-0.2642182888	1.037309579	0.4969123529	0.9382612929	-0.9437467131	0.2421572627	0.7037625185999999	0.01292921422	0.8195599637000001
0.1145281432	0.0	0.3710706431	-1.016269581	0.2311537021	0.508967136	1.086201985	-0.4096691543	1.898440124	-0.6296409419	0.3620375843
0.10758234439999999	0.0	-0.3313670613	-0.1371032711	0.003312401514	-0.1240311751	-1.71353318	2.4909939430000003	1.399810953	-0.02641157836	0.09690612881
0.1003690789	0.0	1.586732515	-0.6062098209000001	-0.7047390345000001	-1.33434143	0.5474906086	0.5172908779	0.4673012349	-1.884735027	0.6770600165999999
0.09290628	0.0	-0.9242308972	-0.417378368	-0.3624954502	-0.2832490657	-0.7450936777	0.496041563	0.5669406057999999	1.734014508	1.886199798
0.08521250150000001	0.0	0.991532803	1.6752610680000002	-0.4901914167	-0.0939556606	0.4393978107	-1.568109542	0.4467908351	-0.4208740374	1.922264688
0.0773068713	0.0	-1.410619505	-0.4754775392	0.1573119021	0.7909835273	0.2054486319	-0.7076960615000001	0.8553728453	2.060638691	1.995761656
0.069209044	0.0	0.903133683	0.5821766668	0.5762181336	0.9493944737	0.2920113611	-0.475481547	1.029897991	-1.767957693	1.54539768
0.0609391522	0.0	-2.168695484	0.1060207734	-0.01167809986	0.6675859608	1.300236144	0.4457789086	0.8228864922	0.8349278364	0.08916448059
0.052517756	0.0	0.5854096524	1.302953536	-0.5727277399	-0.051329667460000006	0.2874711773	1.350457178	-0.16244133060000002	0.905939944	-1.421319362
0.0439657924	0.0	-0.8912161086	-0.9532525113	-0.9098385458	-0.5958714931	0.793904463	-0.12836834800000002	0.8558768144	0.04087594509	0.03503742333
0.0353045229	0.0	0.27867441670000004	0.7298926837	-0.3436587763	-0.5340743621	-0.7613708638	2.321511347	-0.250108936	-0.1383750279	0.3224948554
0.0265554808	0.0	2.2107076830000003	0.5290181423	-1.076827405	-0.5867755798	0.9316263621	-1.183243904	-1.207367251	-0.8477843992	0.13840644230000002
