0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8
0.1781187815	0.0	-2.259744764	1.237325002	-0.6390990707	-1.833773239	-1.412281981	0.1525669736	1.392000741	-0.184659131
0.1776759502	0.0	-2.154028392	0.8488575568000001	0.4935047696	-0.3414307492	-0.0007856925164000001	-2.5219137330000003	-0.5629777415999999	1.240825009
0.1767913884	0.0	-1.617080144	-1.173242514	-0.9277069521	-0.2431700737	1.154650577	0.2524509942	0.1243715802	1.746320545
0.1754672954	0.0	-1.77591261	0.4415697286	-0.3540825199	1.7031480490000002	-0.3209139707	0.7156595803	-1.410100035	0.678906662
0.1737069631	0.0	-1.202523546	-1.967899337	0.7870669919	0.4850589642	0.5044954635	-0.811097098	-0.7992946292	-0.06287363205
0.17151476780000002	0.0	-0.8446298064	-0.07042261377999999	-1.700731785	-0.6445215989	0.1693329989	-0.03103842439	0.09649351331	1.071256969
0.16889615989999998	0.0	-0.5863767254	1.427483796	0.00527213196	0.9591018205	-0.437651386	-0.1454851338	-1.58298296	1.554962131
0.1658576494	0.0	-0.9072225463	-1.205739045	0.8851219672	-1.368727459	0.4331926516	-0.2828018636	-1.043187499	1.6760494869999998
0.1624067907	0.0	-0.8705505211	0.008768522369	-1.631860436	-0.3995871261	0.5068916091	0.4493772957	0.9894601125	1.639997046
0.1585521632	0.0	-1.268193416	1.14618828	-0.2623514186	1.36741926	-0.5463321463	1.416333655	-1.509066772	0.1518536479
0.15430335	0.0	-1.4420690269999998	-1.11722075	0.308032437	0.3266093866	-0.01832101045	-1.402072606	-1.392634499	-2.619995816
0.14967091429999999	0.0	-0.7460852453	-0.6480668948	-1.651054008	-1.41850051	1.326023785	-0.3494498507	-0.4063409299	-0.4769182137
0.1446663732	0.0	-0.9005885099	0.7387518412	-0.4043122025	-0.3643721489	-1.335602917	1.004729571	0.2559987745	1.178149665
0.1393021686	0.0	-0.8496443912	0.1088883628	0.8594311354999999	0.4477566614	-0.2457487572	-2.278964087	-0.048436527	0.6594873006
0.13359163699999999	0.0	-0.35840573880000004	-1.016417568	-0.3078269952	-1.512921957	1.803138056	-0.05381189476	-0.2987079579	0.09393966078
0.1275489755	0.0	-0.5339322723	0.3453469416	-0.4489303005	0.110649368	-1.110564813	1.193630428	0.4104885659000001	0.2467180762
0.12118920710000004	0.0	-0.6514383203999999	0.3657145999000001	1.200164625	0.9279280319	-0.151885493	-1.3383059	0.3017298168	-0.5014808531
0.1145281432	0.0	-0.7615921733	-0.4025962374	-0.2449409179	-1.184501437	2.008361697	0.03993291159	-0.4612964611	-0.06278791444
0.10758234439999999	0.0	-1.126123365	0.9325651161	-0.384354247	0.2333981199	-0.761891917	1.28710783	-0.6770145931	0.01978843411
0.1003690789	0.0	-1.026724151	0.3080379906	1.292808702	0.5647186306	0.17463016050000002	-1.971681824	0.0488097653	-0.1310394486
0.09290628	0.0	-0.6305392631	-0.9124828369	0.08040992436000001	-0.9692568827	1.788680838	0.2059517762	-0.3185130925	-0.4876355626
