0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10	0.0.11	0.0.12	0.0.13
0.1753603861	0.0	1.277571525	-1.057495808	0.4306565156	-0.07491113021000001	-0.414322326	1.06427373	0.4264381685	1.6012598180000002	-0.07310550517999999	-0.1452785759	1.505204954	0.422045129	-0.9471614355
0.1749508238	0.0	-1.0150598709999998	0.22640294	-0.3539581397	0.517428294	0.32561315620000003	0.5217492315	-1.5476251559999998	0.5367284197	0.744149313	-0.8719311711	0.3423432134	1.661869735	0.1273649169
0.17413265579999998	0.0	-1.379852859	-0.2017073826	0.07235640878999999	-1.603409506	0.062490820879999985	0.6610562311	0.5314014922	1.56096975	-0.2504665182	-0.9609152758	0.6070261911	-0.1786697955	-3.651734691
0.17290779280000002	0.0	1.057713633	-0.512650752	1.084684765	-0.4749899519	-0.7086461612999999	1.008000435	1.983249979	1.4049076390000002	0.5918352297999999	-0.1058423381	-0.0968498209	0.6513824142	-0.08777126509
0.1712790957	0.0	-0.8721567721	1.974731659	0.3168111642	0.1404553681	2.163473196	-0.1751590729	0.8608906134000001	0.2779972305	-2.038104845	-1.392567668	2.170686235	-0.1294280992	0.4028354133
0.16925036829999998	0.0	0.8915908187	0.07067665206	2.049000312	-0.04568583224	0.34960815700000003	1.396989931	2.160780534	0.2301259648	1.335825352	-0.2896553663	3.28978201	-1.155070062	0.2810118941
0.1668263489	0.0	-0.1060817764	0.2116632853	1.087351136	1.181719482	1.592418705	0.5493349958	-0.8824650589	1.785156142	1.496841179	-0.7383554529	1.262492782	2.110921833	1.885261785
0.1640126988	0.0	-1.626150889	-0.21657914	-0.4694098748	-0.9018296446	0.3783319019	1.271305926	0.6641037619	0.4490224423	0.8308435304999999	-1.711377775	-0.1972564866	-1.657023092	0.266992235
0.1608159894	0.0	1.794189347	-0.7636297688	0.6457296604	0.5354092219	-1.112275247	1.102971337	-0.8467992406999999	0.6361776653	-1.623123184	-1.15989742	0.9566616318	1.081431272	2.349754699
0.1572436868	0.0	-1.135768229	0.14232603189999998	-0.9457855561	-0.5034126108	0.9837468812	1.395803899	0.330737282	-0.4696941391	0.918442108	-0.0434589591	0.7635229323	-0.119749403	0.3586870075
0.1533041343	0.0	1.3496847369999998	-1.348571163	0.8003078369	0.2433684789	-1.005254078	0.7909143462999999	-0.4765686014	0.6579089692	-0.23917932	-0.9612002997	-1.172533592	0.5584202504	0.6142412333
0.1490065329	0.0	-0.9842477602	-0.2508133192	-1.02591156	-0.8519378809999999	0.9060571017	0.8130777583	0.7435120331999999	0.08861566685000001	0.6782223042000001	0.119330411	1.222128893	0.345012414	-0.05000600089
0.1443609199	0.0	1.124097293	0.5782639095000001	0.3055953252	1.601270849	-1.007110472	0.4269828146	-0.04152474147	0.01158236285	-0.1799275781	-1.174675911	-0.8388186098999999	1.169625646	1.377993908
0.1393781452	0.0	-1.62829203	-0.7551771814	0.34985649090000004	-1.053148715	-0.1722899113	1.296766851	0.8651921090000001	0.5147863962	-1.048462746	-0.6758948620999999	-0.3426799668	0.1643048598	-0.4665383009
0.1340698464	0.0	0.2993766057	1.198964106	-0.3589387587	0.07175700307999999	0.847561352	1.086222402	-1.028375189	-1.121332373	-0.7930738906999999	-1.151044702	-1.221942845	0.8115606870000001	0.3436663569
