0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5
0.1781187815	0.0	2.0745534080000003	0.26812464	-0.5125921839	2.646596921	-0.3646566054
0.1776759502	0.0	0.08757625472000001	0.9113989418	1.810842275	0.5513409567	-0.7263910101000001
0.1767913884	0.0	0.6997553434999999	1.148657326	-0.9864890585	0.4512079405	-0.9060441779
0.1754672954	0.0	1.221334231	-0.7082371231999999	0.2920850271	0.1898809437	-1.075394456
0.1737069631	0.0	-0.06557220775	0.217498517	0.3506685082	0.4363989104	0.7831312934
0.17151476780000002	0.0	0.1998698899	0.9212044033	0.4586083814	1.774095038	1.2587291
0.16889615989999998	0.0	-0.1767222812	0.9527708644	-2.012145493	1.688888193	2.152019259
0.1658576494	0.0	0.1333350504	-0.5354183689	-0.7021417479000001	1.7994957669999998	1.015198727
0.1624067907	0.0	0.7224293759999999	-1.075580405	-0.1493432867	1.314389423	-0.493039689
0.1585521632	0.0	1.297599105	-0.583678214	0.7004196318000001	-0.5262213139	-0.9124546821
0.15430335	0.0	0.3552592406	-0.3786252667	0.697422105	-1.317226258	-0.0796584219
0.14967091429999999	0.0	-1.2118055090000002	-0.07746408382	0.03995855236	-0.08824249463	1.5059171480000002
0.1446663732	0.0	0.3237416747	1.4707272530000002	-0.6166256657	-0.07695967241	2.463456915
0.1393021686	0.0	0.9792611116	1.671955605	0.8051223959999999	0.3262106452	1.488161375
0.13359163699999999	0.0	0.2204597507	-1.0720437109999998	0.5572337239	0.449644038	0.257785434
0.1275489755	0.0	-0.8193454175	-1.533015608	-0.7524903745	-1.150258413	-0.09958530228
0.12118920710000004	0.0	-0.5154499162	-0.1311794126	0.8891886759000001	0.0377531758	0.3859913624
0.1145281432	0.0	1.7044230130000002	0.140960249	0.7151184448000001	-0.7485785495999999	-0.6319012789
0.10758234439999999	0.0	0.4380312709000001	-0.6327628219	0.1778881187	-1.454400048	-0.9762349876
0.1003690789	0.0	-2.05262397	0.1577670985	0.6141203515	0.28710249320000003	-0.759371793
0.09290628	0.0	-0.8765082531999999	1.455619634	-0.4058186734000001	-0.6360385168	0.08436973952
0.08521250150000001	0.0	-0.05255346086	-0.5620681704	-0.1478957484	-0.3125065312	-0.5015523734
0.0773068713	0.0	0.3005425928	-0.1712370477	-0.06654338949	-1.14023609	0.2131357778
0.069209044	0.0	-0.478425171	0.8809282397	1.654196895	0.9925437916	0.1600848945
0.0609391522	0.0	-0.06743946174	0.7352626101	1.620368679	0.5111724075	0.2973416877
0.052517756	0.0	-1.462656584	-1.018267007	-0.2556482243	0.0114950238	0.3904288772
0.0439657924	0.0	-1.234425068	-1.976971296	-1.6886824669999998	-0.5677001081	-0.1522012373
0.0353045229	0.0	-0.09966812682	-0.03390475264	0.157144122	-1.114399561	0.001327978927
0.0265554808	0.0	-0.1788157377	0.5574486257	1.37254236	0.2445033563	-0.9684999481
0.0177404176	0.0	-1.107294887	-0.607213436	-1.511286414	-0.6698033374	-1.388547798
0.0088812489	0.0	-0.6918526315000001	0.6392734484	0.04959962569	-1.804204727	-1.990716062
0.0	0.0	-0.4679127818	-1.680399636	0.09283959097	-1.555746956	-0.9533627479
-0.0088812489	0.0	-0.2375261506	-1.550745945	-0.3570910914	-1.68755713	0.08804208600999999
-0.0177404176	0.0	-0.3527182781	-1.447541823	-0.905366867	-1.288898157	-0.3399843783
-0.0265554808	0.0	-1.270329916	-0.3389662639	0.2471436834	-0.2840094371	-0.5580884623
-0.0353045229	0.0	-1.27897838	0.8183837983	0.6796391812	1.168802065	-0.9014601948
-0.0439657924	0.0	-0.7642170091	1.610215139	-2.1429534	0.1877996254	-1.138673757
-0.052517756	0.0	-0.2117672093	1.447987942	-0.206313574	-1.062206676	-0.5216921228
-0.0609391522	0.0	-1.008699988	-1.361192028	-0.8196717642	-1.0054554759999998	0.4389370133
-0.069209044	0.0	-0.2999379895	-0.6365117922	-0.8228770840999999	-0.9287226206	1.445711136
-0.0773068713	0.0	0.1707069215	-1.16897588	-0.2818352483	-0.2241350801	0.2845566237
-0.08521250150000001	0.0	-1.61514857	-0.12703306849999998	0.5011330025	0.08447893748	0.2507948311
-0.09290628	0.0	0.0684543019	2.492604026	-1.139916663	0.8630342601000001	-1.048518802
-0.1003690789	0.0	1.07456253	-0.1199827907	0.1675162069	0.5389967666	-1.998384411
-0.10758234439999999	0.0	1.46468364	-0.4314783779	0.7142598193999999	-1.594907088	-1.285930066
-0.1145281432	0.0	-0.06717647552999999	-0.0128620173	1.211170998	-1.123626458	0.03364525738
-0.12118920710000004	0.0	-1.098939081	-1.115186896	-0.3120913648	0.2045440254	0.3685761051
-0.1275489755	0.0	-0.6114083297	0.1144969668	-1.3511578709999998	-1.5268270309999998	0.7409357926000001
-0.13359163699999999	0.0	0.1933100159	0.07142852693	-1.247828544	1.621508136	-0.095632056
-0.1393021686	0.0	3.096427659	2.00953456	1.444573625	-0.3299216304	0.8419288293000001
-0.1446663732	0.0	0.008430325983	0.7566407031999999	0.8970483036	1.3218413409999998	-0.4092721586
-0.14967091429999999	0.0	-0.9026439878	-0.4866314677	-2.04016305	0.3997550187	-0.3466526583
-0.15430335	0.0	-0.1634213478	-1.324460451	-1.200243891	-0.1359663472	-1.271554458
-0.1585521632	0.0	-1.258522884	0.3926097349	0.7361938231	0.5673328572999999	-0.6792692643000001
-0.1624067907	0.0	-0.1443811613	0.855516962	0.4086374802	0.5448154247	1.064535529
-0.1658576494	0.0	0.4556465874	-1.057066076	-1.269950159	0.8416886399	1.7034013630000002
-0.16889615989999998	0.0	0.04235218835	0.8638045948	0.1315752825	0.4380288668	2.422507596
-0.17151476780000002	0.0	1.5484529969999998	1.077481207	1.002406185	0.5175642021	1.786902762
-0.1737069631	0.0	0.22818819420000006	0.2296203021	0.9603697978	0.9886715397	0.5137124361
-0.1754672954	0.0	0.007289089715	-1.378995254	-1.830151195	1.220383298	-0.2734120704
-0.1767913884	0.0	1.718400926	0.03142449138	0.7858646819	-0.0006489729119	-0.08617859073999999
-0.1776759502	0.0	2.295641433	-0.03514235715	1.257458389	-0.9452638841	-0.4166854421
-0.1781187815	0.0	-0.285829901	0.4694924386	1.534956569	0.07870453646	-0.09026546566
