0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10	0.0.11
0.1753603861	0.0	1.048197081	0.29776795780000004	0.14733644380000002	0.2457633565	4.517918612	-0.8852285317	-1.921437335	1.706854511	1.377785092	0.4355852875	0.8378414189
0.1749508238	0.0	0.2235054518	-0.257997939	1.786866639	0.3620364361	2.393044568	1.166481745	0.7393308016	1.902999484	-0.3068549299	0.4110499164	-1.546874932
0.17413265579999998	0.0	0.6211772966	0.7050551531999999	-0.9278375944	-0.7013753463	1.852821036	1.088437121	1.708566924	0.8035737425	1.045832009	0.3021238695	-1.396641597
0.17290779280000002	0.0	0.5426330207	0.04930691739	-0.02193151429	-0.1934728052	0.7470965178	1.587534948	-1.16502148	2.557856927	1.214836398	-0.5861651323	-0.9421313806
0.1712790957	0.0	0.4460647758	0.8444498517	1.044325317	0.5739873887	0.6668772449	2.027004165	1.002839968	0.609319478	1.164116371	1.310829959	0.4826799356
0.16925036829999998	0.0	1.629676114	0.7402719512	-0.7615018397	1.212996404	0.602041036	1.147987743	-0.8904364212	1.161119792	1.808367097	0.9657012318	-0.01568619235
0.1668263489	0.0	2.407101021	-0.145230757	1.407185	0.3642099144	0.9514454322	-0.229357842	1.3940214869999998	1.052201639	1.009240737	-0.7876233046	-0.0204294248
0.1640126988	0.0	0.6023699229999999	-0.8124933492	-1.168351076	-1.018460649	0.3135195646	-0.6372961768	1.008029167	1.90880186	1.273251376	0.9130144634	-0.4841192129
0.1608159894	0.0	0.03963354828	-1.047445449	-0.3180082625	0.2895740531	-0.4207381589	1.454300507	-1.4233853	1.296451993	0.3191855407	-0.4863413457	0.830308446
0.1572436868	0.0	0.1823581972	0.4236968413	1.379410015	1.408167674	0.3106216549	0.1354861734	0.9552612936	0.05245849927	0.7791490422	1.212734245	1.382824743
0.1533041343	0.0	0.9453534821	-0.4087852542	-1.011239775	0.7708547114000001	0.3286457135	-1.860453495	-0.2613428431	0.2463712605	-0.09006001546	0.2639330483	-1.016982117
0.1490065329	0.0	-0.2589631111	-0.8339742235	0.9095872413	-0.8473288686	-0.07510074715	-1.062259602	0.2033253868	0.5446998597	0.7072769044	-1.957461435	-0.1530630647
0.1443609199	0.0	-0.9992068535	-0.803308529	-1.6076538219999998	0.0030482719910000003	-0.7231802129000001	0.4352226378	0.338730572	0.9827121607	0.03018028425	0.8125994717	0.8191008086
0.1393781452	0.0	0.35332031020000004	0.04301098209	0.5240150857	1.2122647290000002	-0.2696092493	-0.1319851951	0.4847937161	-0.04496522863	0.9644203269	-1.467889222	2.263499451
0.1340698464	0.0	1.293302763	-0.2298442939	-1.502982696	0.2917956373	0.420968651	-1.537632479	0.6559592673	0.7992548943000001	0.6747087562999999	1.046073048	-0.7058817288
0.1284484213	0.0	1.114836516	-0.9790287416	1.4290941380000002	-1.042254905	0.4772120948	-0.1367034947	-0.7333615192	0.4452511652	0.9222130118	-0.8472257178	-1.110144522
0.1225269989	0.0	-1.03652667	-0.7184344085	-0.7196609186	-0.1802609846	-0.7157566262999999	0.3783289748	0.48220139	0.6017033766	-0.2240572231	0.9317134386	-0.1718240776
0.116319409	0.0	-1.4402877669999998	0.048707510710000006	-0.3880528352000001	0.8101051854000001	-0.8958548575	-0.5805162221	0.1173807389	-0.2241663593	-0.03913210188	-2.0366742490000003	0.9397483805
